Title,Release Year,Genre,IMDb Rating,Duration,Age Rating,Production Country,Streaming Services,URL
Peaky Blinders,2013,"Crime, Drama, Organized Crime",8.7,58min,A,United Kingdom,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/peaky-blinders
Adolescence,2025,"Crime, Dark Crime, Drama, Mystery & Thriller",8.2,57min,UA,United Kingdom,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/adolescence-2025
Dr. STONE,2019,"Action & Adventure, Animation, Classic Japanese Anime, Comedy, Science-Fiction",8.0,24min,,Japan,"Amazon Prime Video, Anime Times Amazon Channel, Crunchyroll, Crunchyroll Amazon Channel, Netflix",https://www.justwatch.com/in/tv-show/dr-stone
Alice in Borderland,2020,"Action & Adventure, Drama, Horror, Mystery & Thriller, Science-Fiction, Video Game",7.8,54min,A,Japan,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/alice-in-borderland
Bigg Boss,2006,Reality TV,3.6,1h 13min,UA16+,India,"Crunchyroll, JioHotstar",https://www.justwatch.com/in/tv-show/bigg-boss
Star Trek: Strange New Worlds,2022,"Action & Adventure, Sci-Fi Military, Science-Fiction, Space Opera",8.3,53min,,"United States, Canada","Crunchyroll, JioHotstar, VI movies and tv",https://www.justwatch.com/in/tv-show/star-trek-strange-new-worlds
Naruto,2002,"Action & Adventure, Animation, Classic Japanese Anime, Comedy, Fantasy, Science-Fiction",8.4,23min,,Japan,"Amazon Prime Video, Anime Times Amazon Channel, Crunchyroll, Crunchyroll Amazon Channel, Netflix",https://www.justwatch.com/in/tv-show/naruto
Auto Shankar,2019,"Bollywood, Crime, Mystery & Thriller",6.7,30min,A,India,"Crunchyroll, VI movies and tv, Zee5",https://www.justwatch.com/in/tv-show/auto-shankar
Mastram,2020,"Bollywood, Comedy, Drama, Fantasy",6.8,28min,,India,"Crunchyroll, VI movies and tv",https://www.justwatch.com/in/tv-show/mastram
Game of Thrones,2011,"Action & Adventure, Drama, Epic, Epic Fantasy, Fantasy, Science-Fiction",9.2,58min,A,United States,"Crunchyroll, JioHotstar, VI movies and tv",https://www.justwatch.com/in/tv-show/game-of-thrones
Gutar Gu,2023,"Bollywood, Comedy, Drama, Romance, Romantic Drama",8.3,26min,UA16+,India,"Amazon MX Player, Crunchyroll, MX Player",https://www.justwatch.com/in/tv-show/gutar-gu
Farzi,2023,"Bollywood, Crime, Drama, Mystery & Thriller",8.3,56min,UA16+,India,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/farzi
Laughter Chefs Unlimited Entertainment,2024,"Bollywood, Comedy, Kids & Family, Reality TV",8.7,1h 12min,,India,"Crunchyroll, JioHotstar",https://www.justwatch.com/in/tv-show/laughter-chefs-unlimited-entertainment
The Summer I Turned Pretty,2022,"Drama, Romance, Romantic Drama",7.3,51min,UA16+,United States,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/the-summer-i-turned-pretty
Panchayat,2020,"Bollywood, Comedy, Drama",9.0,36min,UA16+,India,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/panchayat
11.22.63,2016,"Drama, Mystery Thriller, Romance, Science-Fiction",8.1,53min,A,United States,"Amazon Prime Video, Amazon Prime Video with Ads, Crunchyroll",https://www.justwatch.com/in/tv-show/11-22-63
Avatar: The Last Airbender,2005,"Action & Adventure, Animation, Fantasy, Kids & Family, Science-Fiction, Western Animation",9.3,24min,U,United States,"Crunchyroll, JioHotstar",https://www.justwatch.com/in/tv-show/avatar-the-last-airbender-2005
Aarya,2020,"Action & Adventure, Bollywood, Crime, Drama, Mystery & Thriller",7.7,45min,,India,"Crunchyroll, JioHotstar, VI movies and tv",https://www.justwatch.com/in/tv-show/aarya
Attack on Titan,2013,"Action & Adventure, Animation, Classic Japanese Anime, Drama, Fantasy, Horror, Science-Fiction",9.1,25min,,Japan,"Amazon Prime Video, Anime Times Amazon Channel, Crunchyroll",https://www.justwatch.com/in/tv-show/attack-on-titan
Breaking Bad,2008,"Crime, Dark Crime, Drama, Mystery & Thriller",9.5,47min,A,United States,"Crunchyroll, Netflix",https://www.justwatch.com/in/tv-show/breaking-bad
Tulsa King,2022,"Action & Adventure, Comedy, Crime, Drama, Organized Crime",7.9,40min,A,United States,"Crunchyroll, JioHotstar",https://www.justwatch.com/in/tv-show/tulsa-king
Chuhai Lips,2025,"Animation, Classic Japanese Anime, Comedy, Romance",7.8,5min,,Japan,"Amazon Prime Video, Anime Times Amazon Channel, Crunchyroll",https://www.justwatch.com/in/tv-show/chuhai-lips
